raining,1
limited,1
dynamic,2
knelt,1
yellow,4
fathom,2
four,3
sleep,7
hanging,5
captain,1
hate,5
aggression,2
consider,1
fronts,1
porno,1
fingernails,1
bike,2
slipping,1
under,4
lord,6
sorry,6
pride,1
worth,3
rescue,1
oceans,4
every,38
confederate,2
screaming,1
courageous,1
tagging,1
tickets,1
school,16
sunk,1
skills,1
induction,1
piling,1
frozen,1
oooh,2
venus,2
heading,2
clothes,2
chew,1
force,1
kublai,1
tired,12
fairness,1
feathers,2
horn,1
surrounding,1
second,3
rent,1
emptiness,1
specs,1
shining,2
even,16
strangest,3
hide,43
christ,1
wreck,2
panama,4
lights,5
haze,4
new,16
ever,14
told,11
kicked,1
never,107
stared,10
here,31
socialize,1
met,5
protection,1
china,1
smokin,1
stares,5
excelsior,1
dry,1
kids,2
daughter,1
leaves,4
leaver,1
walkin,1
credit,1
smoke,4
heartbreaker,2
special,1
changes,2
secure,2
feelings,4
offa,1
patience,33
spoil,1
drowned,1
perpetuates,1
swings,1
spoke,3
would,26
arms,16
cannibal,1
music,13
card,1
survive,2
tryin,1
type,3
tell,57
breathe,10
lungs,1
relax,1
brings,3
reign,5
hurt,4
phone,1
warm,3
hole,1
hold,46
must,18
shoot,2
word,21
wore,3
mo,1
work,50
gasoline,30
roof,3
regrets,3
fakin,1
mr,3
altering,1
my,632
triple,1
give,22
india,4
honey,13
fronting,1
loosey,1
want,77
vulnerability,1
keep,21
motion,3
hoe,1
end,16
turn,22
agony,1
song,6
nuts,3
damage,1
how,90
shakin,2
disappear,1
gate,1
badly,1
untill,3
rise,3
beauty,1
mess,7
ladder,30
after,6
vicious,1
wrong,11
lay,8
law,1
headdress,1
hypnotic,1
lou,5
green,1
jungle,2
capitalist,1
things,19
order,32
wind,28
wine,3
emotion,2
deck,1
over,26
jacuzzi,1
dwelling,1
before,18
ima,2
fit,1
somewhere,2
fix,1
christie,5
blackened,1
crew,3
destroyed,3
sickos,1
fade,1
hidden,8
pass,6
then,27
them,14
biding,1
safe,2
collide,2
break,12
band,1
baggage,2
they,65
payback,1
one,59
silver,2
bread,1
shadows,1
explode,3
wooden,1
each,9
went,16
side,8
bone,1
mean,15
lifted,1
nave,1
snakes,1
innocent,1
taught,1
gates,1
forgot,2
dawn,3
blinded,2
driving,10
god,2
motel,5
dime,1
washed,1
forty,1
mason,1
strangers,2
re,6
laid,1
mayday,1
got,188
written,4
little,42
free,12
struggle,1
slammin,1
wanted,7
storm,2
suvs,1
eveything,2
starts,5
days,11
waterfall,1
soda,1
uses,1
shootin,1
loud,30
caught,51
fuckin,2
grownups,1
already,2
wast,1
fantasy,1
spinning,2
chopper,1
comin,8
sober,5
thick,1
top,8
hawks,2
girls,3
twisted,2
rone,1
too,97
hustlin,1
john,13
bitter,1
listen,4
tec,6
collapse,1
canned,1
took,5
wisdom,1
nirvana,1
wrapped,1
bringin,1
sincerity,1
crawl,5
stocking,2
begins,3
distance,5
rampage,1
bits,1
tree,2
matter,7
guilt,2
iron,1
devious,1
feeling,11
bridge,1
fashion,1
ran,2
modern,1
mind,63
mine,62
raw,1
rat,1
shell,3
seen,9
seem,5
magnified,1
seek,1
tells,1
eels,2
hood,1
sterile,1
genuine,1
chest,1
subjects,1
circles,2
blue,7
exactly,1
though,7
doin,2
mouth,2
letter,1
jumpin,1
tibetan,1
grave,8
dummy,4
doo,6
cops,3
incomplete,3
dog,3
freeway,3
reputation,1
scream,63
came,9
saying,11
bomb,1
bonnie,5
ending,1
deuce,2
poison,1
lethal,1
earth,5
sharks,32
orleans,1
touches,3
spite,1
situations,1
explain,5
folded,1
bust,1
mens,7
deepest,1
rich,1
folks,2
wearing,2
do,92
di,4
stop,12
dc,1
da,1
criticized,2
spirit,1
despite,1
ben,1
nasty,2
saturn,1
bar,1
spilling,1
fields,1
disco,1
twice,2
bad,6
ruins,1
ears,3
human,2
fair,1
testing,1
ballers,1
gaye,1
cattle,1
tortured,3
best,2
said,31
temptation,2
sorta,5
away,70
shaved,2
sorts,1
discipline,1
we,126
men,2
loves,4
extend,1
rims,1
rolled,2
weak,2
dedication,1
news,1
kitchen,1
pity,1
protect,4
beck,1
country,11
ill,144
conclusions,2
against,3
amazing,2
players,1
games,3
lookin,3
faces,5
argue,2
asked,1
pursuit,1
pulleys,1
oooooooooooo,2
confide,1
smuggler,1
darlin,39
loaded,3
trust,1
heals,1
speak,1
yellowed,1
puts,2
eager,1
been,55
drafting,1
beep,2
submarine,2
beer,2
much,108
expected,1
lovely,1
leech,1
threw,1
obese,1
life,113
families,1
deeper,3
spit,1
sunshine,2
shoutin,3
moneys,1
sycophants,1
child,5
catch,4
voices,3
mcs,1
tonight,38
east,1
tank,1
dissect,1
air,9
aim,1
ugly,6
near,4
comfortably,1
dashboard,1
cracked,1
voice,31
k,1
nows,1
seven,1
changed,1
played,1
is,323
it,514
tease,1
shame,5
cant,99
erect,1
im,287
in,340
conditioner,2
id,22
trusted,1
if,164
suggest,5
make,180
wound,3
greengrass,1
beside,4
harmony,2
babies,2
sat,3
satellite,2
misery,1
hang,1
rain,10
hand,10
fuse,1
kin,2
thoughts,4
kid,5
butter,5
kept,3
romp,1
youre,161
suffering,2
ocean,3
contact,1
mother,2
hearts,5
the,1013
smoked,1
yours,3
tha,1
left,29
just,175
gods,1
sleepy,1
overcoming,1
disguise,1
victim,2
facts,1
yes,7
yet,7
hills,2
bevan,1
cherry,2
ease,3
had,26
ooooh,1
spread,4
easy,14
pitiful,33
has,14
gave,6
shoulder,1
casting,1
breaks,5
cultural,1
performance,1
shadow,2
unique,1
dreams,12
apart,2
desire,1
brought,1
theyre,21
stained,1
night,29
hung,1
right,35
old,7
deal,1
people,8
deaf,1
somehow,32
dead,5
born,5
everbody,1
escape,1
dear,1
jeffery,1
enemies,1
chorus,13
for,238
purple,1
daddy,1
gooch,1
ice,1
everything,17
summoned,1
denied,39
cnn,1
foo,1
christmas,12
core,1
meanings,1
burn,35
jester,5
losing,2
eye,9
bury,1
nothings,2
cowboy,5
months,1
choke,1
surround,1
grown,1
match,1
whats,10
presence,3
obscene,4
down,224
slurp,1
sos,1
wrap,2
stall,2
stumble,4
rely,1
flying,1
sunlight,1
fight,10
absolutely,3
way,117
call,14
was,103
war,5
happy,2
head,26
offer,1
fascination,1
heal,2
analyse,1
lawn,1
mysterious,1
hear,44
surrender,1
true,10
tremeloes,1
bargain,1
until,2
whiskey,1
adore,40
mustering,1
molehills,1
gather,1
proved,1
fury,1
locust,1
diamond,11
exist,1
promised,3
prayer,1
shines,1
tooth,1
check,3
shit,8
pipe,1
faithful,1
dying,7
floor,4
marys,2
tip,1
vanishes,1
reality,1
til,2
setting,1
holding,8
test,6
intrusions,2
vanished,1
smell,3
roll,12
picture,1
brothers,1
surprise,2
welcome,2
miscellaneous,1
diet,1
rappers,1
class,1
fell,3
rolling,3
died,2
younger,3
puss,1
fastened,1
faster,4
glass,2
together,17
time,116
push,6
dust,2
songs,2
gown,1
rom,1
dance,2
souls,3
leads,1
mile,2
skin,3
battle,1
chair,1
milk,1
bitchin,1
suicide,1
depend,1
zone,2
countdown,1
finally,8
negativity,2
rhythm,2
retreat,1
me,439
advantage,1
welling,1
fleece,1
choice,31
vegas,1
tanks,1
stays,2
locked,5
trouble,3
blast,1
minute,2
room,12
din,20
beating,2
clouds,1
tear,3
die,11
peeps,2
gun,3
leave,9
settle,1
gut,1
quick,9
guy,2
round,9
yall,2
dis,1
shave,1
blade,4
says,10
meadow,1
sigh,2
sign,3
invaded,1
cost,1
substitute,2
drinks,3
appear,1
heres,2
remain,1
brink,2
goes,5
shared,1
falling,15
freaky,1
filled,4
satisfy,1
blunted,1
slaying,1
ridin,1
french,1
water,5
yards,4
crippled,1
alone,25
suckers,2
along,4
change,4
wait,5
box,1
boy,7
trial,1
redemption,1
flames,1
brummels,1
pearls,1
jay,1
guilty,4
bow,1
sharpening,1
chemical,2
bob,2
bruised,1
inexpressive,1
love,261
bloods,1
marked,1
fake,8
rarely,4
market,1
everybody,15
russell,1
working,3
prove,2
angry,3
nickels,1
wrongs,1
live,69
memory,2
today,12
scratched,1
club,1
laughs,2
acceptable,2
ooh,4
chocolate,4
downtown,1
drown,1
rigid,2
cases,2
fly,2
anything,1
niggas,8
car,4
pretend,2
soul,208
niggaz,3
cat,3
flagship,1
judy,4
drags,1
can,193
stature,1
believed,2
making,12
arrive,4
stimulating,1
heart,19
dedicated,1
popup,1
fuck,8
heard,1
tinted,1
chin,1
dropped,1
phrase,1
counting,2
stole,4
pink,3
mole,1
discussion,1
means,10
soiling,32
pine,1
lounge,1
alway,1
sunday,5
pure,2
axis,1
divides,2
cavin,2
explorer,1
may,9
sacrifice,2
blame,5
cease,2
crashed,1
mac,2
pave,1
date,1
such,15
suck,1
guys,1
grow,2
man,32
stress,1
remember,6
whenever,1
maybe,3
rollin,1
st,1
quakertown,1
nosed,2
so,222
silence,3
tall,1
pulled,1
talk,8
displayed,1
flips,1
years,3
brain,15
shake,1
congregating,1
cold,8
still,20
worship,3
limbs,1
police,1
thank,2
faults,1
torn,3
hot,6
window,4
suffocate,5
stroll,1
troubled,1
bombs,1
happened,7
lonely,8
nod,1
conversations,1
bein,1
bashful,2
nation,1
underneath,3
adrenaline,1
half,6
not,73
now,152
bullshit,2
wont,26
term,1
equality,1
name,10
streaks,1
lies,36
clutch,5
drop,5
possibilities,1
rock,6
veins,4
entirely,1
em,22
fired,2
yeah,54
blanks,1
farewell,1
begun,2
year,3
girl,67
worried,2
pills,1
album,1
living,7
opened,2
space,6
astray,1
tingly,1
looking,11
miles,1
dutch,1
correct,1
monster,3
cars,1
million,2
pumping,1
quite,5
plea,1
gots,2
obligation,1
forbids,1
care,9
underwear,1
punk,2
wanderers,1
thing,34
funky,4
place,19
silently,1
invitation,1
lighting,1
think,41
waited,5
first,7
blind,6
cheese,2
saving,1
lone,3
yourself,3
insist,1
simplified,1
long,17
corporations,1
sounds,1
open,4
tomorrow,5
sheep,1
city,4
given,2
stifles,1
checked,1
silent,2
bite,1
anyone,1
white,1
structures,1
friend,10
eyes,66
starfish,1
that,218
thieving,1
universe,1
released,1
eyed,1
fooled,6
junkyard,1
copy,1
than,21
gotta,11
coats,1
future,2
were,47
cards,2
and,661
angel,3
remained,1
seal,1
turned,6
alley,1
sad,5
winding,1
say,52
buried,2
sells,1
saw,6
any,13
superman,1
prosperity,1
burnin,1
cigarettes,1
ideas,1
note,2
take,98
roadside,8
wanting,1
rages,1
cardboard,1
towers,1
begin,3
sure,12
pain,41
goodbye,4
trace,1
infiltrators,1
track,3
price,1
knew,7
pair,3
knee,1
forever,9
proud,1
steady,30
drive,4
romper,1
funkiest,24
shop,2
walking,7
shot,7
show,52
cheap,4
friction,1
fifty,4
elevate,1
bright,1
shoe,1
corner,1
mister,1
ground,11
aint,53
slow,5
dice,1
stormy,3
dick,1
enough,13
piranha,1
only,36
going,25
black,3
thankful,2
intercontinental,2
clank,1
get,73
explosions,2
stomp,1
balconies,2
baghdad,2
cannot,6
nearly,4
celebrate,1
freaking,1
